,municipio,latitud,longitud,nombre local,categoría,dirección,distancia (m)
0,Ajalvir,40.5342302,-3.4807818,El Balcón de Quevedo,Café,"Calle Quevedo, s/n, 28860 Paracuellos de Jarama Comunidad de Madrid",4525
1,Ajalvir,40.5342302,-3.4807818,Bar Julio's,Bar,"Calle Real, 1, 28864 Ajalvir Comunidad de Madrid",257
2,Ajalvir,40.5342302,-3.4807818,O'Donnell,Café,"Calle Príncipe Felipe, 27, 28814 Daganzo de Arriba Comunidad de Madrid",2163
3,Ajalvir,40.5342302,-3.4807818,La Romeria,Night Club,"Calle Romería, 0, Km 3, 28864 Ajalvir Comunidad de Madrid",3449
4,Alcalá de Henares,40.4818396,-3.3644973,San Diego Coffee Corner,Café,"Plaza de San Diego, 3, 28801 Alcalá de Henares Comunidad de Madrid",208
5,Alcalá de Henares,40.4818396,-3.3644973,Churrería Metropoli,Café,"Calle de Santiago, 42-48, 28801 Alcalá de Henares Comunidad de Madrid",231
6,Alcalá de Henares,40.4818396,-3.3644973,Manolo Bakes Libreros,Bakery,"Calle Libreros, 24, 28801 Alcalá de Henares Comunidad de Madrid",245
7,Alcalá de Henares,40.4818396,-3.3644973,Café Continental,Café,"Calle Empecinado, 23, 28801 Alcalá de Henares Comunidad de Madrid",395
8,Alcalá de Henares,40.4818396,-3.3644973,Churrería Chocolatería Cibeles,Café,"Calle Talamanca, 29, 28807 Alcalá de Henares Comunidad de Madrid",606
9,Alcalá de Henares,40.4818396,-3.3644973,Bamby,Café,"Avenida Fuerzas Armadas, 6, Alcalá de Henares Comunidad de Madrid",139
10,Alcalá de Henares,40.4818396,-3.3644973,Las Retintas,Bar,"Plaza de los Irlandeses, 9, 28801 Alcalá de Henares Comunidad de Madrid",174
11,Alcalá de Henares,40.4818396,-3.3644973,La Morada,Bar,"Paseo del Val, 16, 28804 Alcalá de Henares Comunidad de Madrid",729
12,Alcalá de Henares,40.4818396,-3.3644973,Cafetería Puerta de Alcalá,Café,"Calle Puerta de Aguadores, 1, 28801 Alcalá de Henares Comunidad de Madrid",343
13,Alcalá de Henares,40.4818396,-3.3644973,La Celiacoteca,Café,"Calle Talamanca, 3, 28807 Alcalá de Henares Comunidad de Madrid",476
14,Alcalá de Henares,40.4818396,-3.3644973,Autocares Alonso,Bus Stop,"Calle Buenos Aires, 2, 28806 Alcalá de Henares Comunidad de Madrid",2041
15,Alcalá de Henares,40.4818396,-3.3644973,Sintonison36,Recording Studio,"Calle Francisco Alonso, 3, 28806 Alcalá de Henares Comunidad de Madrid",2369
16,Alcobendas,40.5400082,-3.6358494,Justo a Tu Gusto,Buffet,"Avenida de la Ermita, 2, 28108 Alcobendas Comunidad de Madrid",467
17,Alcobendas,40.5400082,-3.6358494,La Flor,Bar,"Calle Ruperto Chapi, 57, 28100 Alcobendas Comunidad de Madrid",1006
18,Alcobendas,40.5400082,-3.6358494,Restaurante Alcalá,Café,"Avenida España, 78, 28700 San Sebastián de los Reyes Comunidad de Madrid",897
19,Alcobendas,40.5400082,-3.6358494,Cervecería Alonso,Beer Bar,"Avenida Madrid, 50 (C. Guipúzcoa), 28701 San Sebastián de los Reyes Comunidad de Madrid",1518
20,Alcobendas,40.5400082,-3.6358494,Dolce Palatino,Café,"Calle Palas de Rey, 22, 28050 The Tables Comunidad de Madrid",4509
21,Alcobendas,40.5400082,-3.6358494,La Casita de Chocolate,Café,"Calle de Miraflores, 1, 28100 Alcobendas Comunidad de Madrid",406
22,Alcobendas,40.5400082,-3.6358494,La Cañita,Night Club,"Calle Maestro Priego Lopez, 19, 28100 Alcobendas Comunidad de Madrid",1819
23,Alcobendas,40.5400082,-3.6358494,Queen Food And Music,Café,"Calle Castiello de Jaca, 14, 28050 Madrid Comunidad de Madrid",4965
24,Alcobendas,40.5400082,-3.6358494,Vait,Café,"Avenida de Europa, 13, 28108 Alcobendas Comunidad de Madrid",2878
25,Alcobendas,40.5400082,-3.6358494,Sube y Baja,Bar,"Calle de Pablo Picasso, 56, 28100 Alcobendas Comunidad de Madrid",308
26,Alcobendas,40.5400082,-3.6358494,Linea 4,Bus Stop,"Hermanos Carrasco Garrorena, 4, 06010  Badajoz",1578
27,Alcobendas,40.5400082,-3.6358494,Conservera Bromar,Natural Park,"Avenida Antonio Machado, 81, 28700 San Sebastián de los Reyes Madrid",1949
28,Alcobendas,40.5400082,-3.6358494,Dopplermedia,Recording Studio,"Calle Valencia, 127, 28100 Alcobendas Comunidad de Madrid",1139
29,Alcobendas,40.5400082,-3.6358494,Tempo Studio Records,Recording Studio,"Carretera de Fuencarral, 44, 28108 Alcobendas Comunidad de Madrid",1336
30,Alcobendas,40.5400082,-3.6358494,Tecnison,Recording Studio,"Avenida Industria, 45, 28108 Alcobendas Madrid",1637
31,Alcobendas,40.5400082,-3.6358494,Aaa.Sonido,Recording Studio,"Paseo de Guadalajara, 98, 28701 San Sebastián de los Reyes Madrid",1916
32,Alcobendas,40.5400082,-3.6358494,Dopplermedia,Recording Studio,"Sonrisa Fuente Lucha, 4, 28100 Alcobendas Madrid",2359
33,Alcorcón,40.3492998,-3.8284295,Arasy,Café,"Calle Parque de Cabañeros, 10, 28924 Alcorcón Comunidad de Madrid",1459
34,Alcorcón,40.3492998,-3.8284295,Dunkin´España,Bakery,"Planta Baja. Avenida de America 7-9, 28922 Alcorcón Madrid",1042
35,Alcorcón,40.3492998,-3.8284295,Cafeteria maribi,Café,"Calle Espada, 9, 28921 Alcorcón Comunidad de Madrid",267
36,Alcorcón,40.3492998,-3.8284295,La Flecha,Café,"Avenida de Felipe II, 18, 28936 Móstoles Comunidad de Madrid",3557
37,Alcorcón,40.3492998,-3.8284295,Pastelería Manacor,Café,"Calle Plasencia, 67, 28935 Móstoles Comunidad de Madrid",4470
38,Alcorcón,40.3492998,-3.8284295,Pasteleria Muñoz,Bakery,"Pº Castilla, 1, 28921 Alcorcón Comunidad de Madrid",111
39,Alcorcón,40.3492998,-3.8284295,Dona Vaniri,Café,"Escuelas, 4 (Metro Alcorcon Central), 28921 Alcorcón Comunidad de Madrid",132
40,Alcorcón,40.3492998,-3.8284295,Los Artesanos del Café,Café,"Calle de las Fraguas, 5, 28921 Alcorcón Comunidad de Madrid",158
41,Alcorcón,40.3492998,-3.8284295,M & M,Café,"Calle Nueva, 3, 28921 Alcorcón Comunidad de Madrid",173
42,Alcorcón,40.3492998,-3.8284295,La Mexicana,Café,"Nueva, 2, 28921 Alcorcón Comunidad de Madrid",191
43,Alcorcón,40.3492998,-3.8284295,Autocares Garmabus,Bus Stop,"Avenida del Alcalde de Móstoles, 9, 28932 Móstoles Comunidad de Madrid",3205
44,Alcorcón,40.3492998,-3.8284295,Eternal Midnight Mastering Studio,Recording Studio,"Porto Colón, 14, 28924 Alcorcón Comunidad de Madrid",955
45,Alcorcón,40.3492998,-3.8284295,Sony Dadc Iberia,Recording Studio,"Calle de Olimpico Francisco Fernandez Ochoa, s/n, 28923 Alcorcón Madrid",1421
46,Alcorcón,40.3492998,-3.8284295,Monaguillo Records,Recording Studio,"Pintor Rosales, 6, 28932 Móstoles Madrid",3629
47,Alcorcón,40.3492998,-3.8284295,Minino Records,Recording Studio,"Calle Pintor de Rosales, 6, 28932 Móstoles Madrid",3629
48,Algete,40.5961652,-3.4974246,Cafetería Río de Janeiro,Café,"Calle Pelaya, 2, 28110 Algete Comunidad de Madrid",3892
49,Algete,40.5961652,-3.4974246,Scramble - Sound,Recording Studio,"Calle Jose Maria Peman, 30, 28110 Algete Comunidad de Madrid",1023
50,Alpedrete,40.6599005,-4.0251223,Área de Servicio Villalba - Como,Café,"Autopista Ap-6, Km 42, 28200 Collado Villalba Comunidad de Madrid",2138
51,Alpedrete,40.6599005,-4.0251223,Pasteleria-Cafeteria Candela,Bakery,"Avenida Reina Victoria, 26, 28430 Alpedrete Madrid",2387
52,Alpedrete,40.6599005,-4.0251223,Cake Factory Café,Café,"Avenida Juan Carlos I, 46, 28400 Collado Villalba Comunidad de Madrid",2982
53,Alpedrete,40.6599005,-4.0251223,Tea & Chocolat,Café,"Calle de la Batalla de Bailén, 1, 28400 Collado Villalba Comunidad de Madrid",3586
54,Alpedrete,40.6599005,-4.0251223,Aroma Pastelería Tetería,Café,"Calle Real, 33, 28400 Collado Villalba Comunidad de Madrid",3691
55,Alpedrete,40.6599005,-4.0251223,Play Coffee,Café,"Calle Azuela, 92, 28400 Collado Villalba Comunidad de Madrid",3810
56,Alpedrete,40.6599005,-4.0251223,Capricho's,Café,"Calle Real, 2, 28400 Collado Villalba Comunidad de Madrid",3843
57,Alpedrete,40.6599005,-4.0251223,Caffè.It,Café,"Calle Rafael Alberi, 7, 28400 Collado Villalba Comunidad de Madrid",4050
58,Alpedrete,40.6599005,-4.0251223,Cafetería Punto y Aparte,Café,"Avenida del Marqués de Santillana, 33, 28411 Moralzarzal Comunidad de Madrid",4533
59,Alpedrete,40.6599005,-4.0251223,Cafetería el Ladrillo,Café,"Plaza de la Fragua, 7-9, 28411 Moralzarzal Comunidad de Madrid",4950
60,Alpedrete,40.6599005,-4.0251223,Fernando Mesa,Bus Stop,"Calle del Bronce, 13, 28450 Collado Mediano Comunidad de Madrid",3041
61,Alpedrete,40.6599005,-4.0251223,Conservas Artesanas Rosara,Manufacturer,"Calle Real, 32, 28400 Collado Villalba Comunidad de Madrid",3714
62,Alpedrete,40.6599005,-4.0251223,Redestudio,Recording Studio,"Avenida Reina Victoria, 16, 28430 Alpedrete Madrid",2288
63,Alpedrete,40.6599005,-4.0251223,Redestudio,Recording Studio,"Honorio Lozano, 17, 28400 Collado Villalba Madrid",3726
64,Aranjuez,40.03221,-3.6039604,Casa Delapio,Café,"Avenida Plaza de Toros, 7, 28300 Aranjuez Comunidad de Madrid",478
65,Aranjuez,40.03221,-3.6039604,Bar Restaurante Quid,Café,"Calle Príncipe, 5, 28300 Aranjuez Comunidad de Madrid",448
66,Aranjuez,40.03221,-3.6039604,Contrapunto Cafe Jazz,Cocktail Bar,"Carretera de Andalucía, 9, 28300 Aranjuez Comunidad de Madrid",115
67,Aranjuez,40.03221,-3.6039604,Cafetería Date Un Capricho,Café,"Calle de Postas, 1, 28300 Aranjuez Comunidad de Madrid",128
68,Aranjuez,40.03221,-3.6039604,Dile Ke No,Café,"Postas, 9, 28300 Aranjuez Comunidad de Madrid",281
69,Aranjuez,40.03221,-3.6039604,Don Bocata,Café,"Calle Principe de la Paz, 8, 28300 Aranjuez Comunidad de Madrid",354
70,Aranjuez,40.03221,-3.6039604,Belle Fusion,Bar,"Calle San Antonio, 21 (San Antonio 21), 28300 Aranjuez Comunidad de Madrid",552
71,Aranjuez,40.03221,-3.6039604,Heladería Artesanal Remo,Café,"Calle Stuart, 68, 28300 Aranjuez Comunidad de Madrid",630
72,Aranjuez,40.03221,-3.6039604,Pokhara,Café,"Calle de las Moreras, 26 Bis, 28300 Aranjuez Comunidad de Madrid",767
73,Aranjuez,40.03221,-3.6039604,Cafeteria Pokhara,Café,"Calle Moreras, 38, 28300 Aranjuez Comunidad de Madrid",1220
